location,placeSep,lng,lat,fixedP
Genoa,Genoa $ Italy,8.946256,44.4056499,If we examine his life in detail we find this alternating principle of conduct revealed throughout it. He was by nature clever$ kind-hearted$ rather large-souled$ affectionate$ and not very honest; all the acts prompted by his nature bear the stamp of these qualities. To them his early years had probably added little except piety$ sharp practice$ and that uncomfortable sense$ often bred amid narrow and poor surroundings$ that one must keep a sharp look-out for oneself if one is to get a share of the worlds good things. Something in his blood$ moreover$ craved for dignity and the splendour of high-sounding titles; craved for power also$ and the fulfilment of an arrogant pride. All these things were in his Ligurian blood$ and he breathed them in with the very air of Genoa. His mind was of the receptive rather than of the constructive kind$ and it was probably through those long years spent between sea voyages and brief sojourns with his family in Genoa or Savona that he conceived that vague Idea which$ as I have tried to show$ formed the impulse of his life during its brief initiative period. Having once received this Idea of discovery and like all other great ideas$ it was in the air at the time and was bound to take shape in some human brainhe had all his native and personal qualities to bring to its support. The patience to await its course he had learned from his humble and subordinate life. The ambition to work for great rewards was in his blood and race; and to belief in himself$ his curious vein of mystical piety was able to add the support of a ready belief in divine selection. This very time of waiting and endurance of disappointments also helped to cultivate in his character two separate qualitiesan endurance or ability to withstand infinite hardship and disappointment; and also a greedy pride that promised itself great rewards for whatever should be endured.
Azores,Azores$ Portugal,-25.6755944,37.7412488,Thus easy it is for a Pope to draw lines from pole to pole$ and across the deep of the sea. Yet the poles sleep still in their icy virginal sanctity$ and the blue waves through which that papal line passes shift and shimmer and roll in their free salt loneliness$ unaffected by his demarcation; the heathen also$ it appears$ since that distant day$ have had something to say to their disposition. If he had slept upon it another night$ poor Pope$ it might have occurred to him that west and east might meet on a meridian situated elsewhere on the globe than one hundred miles west of the Azores; and that the Portuguese$ who for the moment had nothing heathen except Africa left to them$ might according to his demarcation strike a still richer vein of heathendom than that granted to Spain. But the holy Pontiff$ bull neck$ low forehead$ impudent prominent nose$ and sensual lips notwithstanding$ is exhausted by his cosmographical efforts$ and he lets it rest at that. Later$ when Spain discovers that her privileges have been abated$ he will have to issue another Bull; but not to-day. Sufficient unto the day are the Bulls thereof. For the moment King proposes and Pope disposes; but the matter lies ultimately in the hands of the two eternal protagonists$ man and God.
Compline,Napa $ United States,-122.2883114,38.29862780000001,There were showers of rain sometimes$ but the moisture in that baking atmosphere only added to its stifling and enervating effects. All the while$ however$ the great slow current of the Atlantic was moving westward$ and there came a day when a heavenly breeze$ stirred in the torrid air and the musical talk of ripples began to rise again from the weedy stems of the ships. They sailed due west$ always into a cooler and fresher atmosphere; but still no land was sighted$ although pelicans and smaller birds were continually seen passing from south-west to north-east. As provisions were beginning to run low$ Columbus decided on the 31st July to alter his course to north-by-east$ in the hope of reaching the island of Dominica. But at mid-day his servant Alonso Perez$ happening to go to the masthead$ cried out that there was land in sight; and sure enough to the westward there rose three peaks of land united at the base. Here was the kind of coincidence which staggers even the unbeliever. Columbus had promised to dedicate the first land he saw to the Trinity; and here was the land$ miraculously provided when he needed it most$ three peaks in one peak$ in due conformity with the requirements of the blessed Saint Athanasius. The Admiral was deeply affected; the God of his belief was indeed a good friend to him; and he wrote down his pious conviction that the event was a miracle$ and summoned all hands to sing the Salve Regina$ with other hymns in praise of God and the Virgin Mary. The island was duly christened La Trinidad. By the hour of Compline (9 oclock in the evening) they had come up with the south coast of the island$ but it was the next day before the Admiral found a harbour where he could take in water. No natives were to be seen$ although there were footprints on the shore and other signs of human habitation.
Cardinal-Arch,Irvine $ United States,-117.7219155,33.6990751,It is to this period of splendour that the story of the egg$ which is to some people the only familiar incident in Columbian biography$ is attributed. The story is that at a banquet given by the Cardinal-Arch bishop the conversation ran$ as it always did in those days when he was present$ on the subject of the Admirals discoveries; and that one of the guests remarked that it was all very well for Columbus to have done what he did$ but that in a country like Spain$ where there were so many men learned in science and cosmography$ and many able mariners besides$ some one else would certainly have been found who would have done the same thing. Whereupon Columbus$ calling for an egg$ laid a wager that none of the company but him self could make it stand on its end without support. The egg was brought and passed round$ and every one tried to make it stand on end$ but without success. When it came to Columbus he cracked the shell at one end$ making a flat surface on which the egg stood upright; thus demonstrating that a thing might be wonderful$ not because it was difficult or impossible$ but merely because no one had ever thought of doing it before. A sufficiently inane story$ and by no means certainly true; but there is enough character in this little feat$ ponderous$ deliberate$ pompous$ ostentatious$ and at bottom a trick and deceitful quibble$ to make it accord with the grandiloquent public manner of Columbus$ and to make it easily believable of one who chose to show himself in his speech and writings so much more meanly and pretentiously than he showed himself in the true acts and business of his life.
Jutland,Egtved $ Denmark,9.201050000000002,55.62954999999999,This stream of life has grown in force and volume with the passage of ages. It has always set from shore to sea in countless currents of adventure and speculation; but it has set most strongly from East to West. On its broad bosom the seeds of life and knowledge have been carried throughout the world. It brought the people of Tyre and Carthage to the coasts and oceans of distant worlds; it carried the English from Jutland across cold and stormy waters to the islands of their conquest; it carried the Romans across half the world; it bore the civilisation of the far East to new life and virgin western soils; it carried the new West to the old East$ and is in our day bringing back again the new East to the old West. Religions$ arts$ tradings$ philosophies$ vices and laws have been borne$ a strange flotsam$ upon its unchanging flood. It has had its springs and neaps$ its trembling high-water marks$ its hour of affluence$ when the world has been flooded with golden humanity; its ebb and effluence also$ when it has seemed to shrink and desert the kingdoms set upon its shores. The fifteenth century in Western Europe found it at a pause in its movements: it had brought the trade and the learning of the East to the verge of the Old World$ filling the harbours of the Mediterranean with ships and the monasteries of Italy and Spain with wisdom; and in the subsequent and punctual decadence that followed this flood$ there gathered in the returning tide a greater energy and volume which was to carry the Old World bodily across the ocean. And yet$ for all their wisdom and power$ the Spanish and Portuguese were still in the attitude of our primitive man$ standing on the sea-shore and looking out in wonder across the sea.
Flores,Flores Department$ Uruguay,-56.8984566,-33.5169429,And so he went on for several days$ with the wind veering always south and south-west$ and pointing pretty steadily to the north-east. On February 4th he changed his course$ and went as near due east as he could. They now began to find themselves in considerable doubt as to their position. The Admiral said he was seventy-five leagues to the south of Flores; Vincenti Pinzon and the pilots thought that they had passed the Azores and were in the neighbourhood of Madeira. In other words$ there was a difference of 600 miles between their estimates$ and the Admiral remarks that the grace of God permitting$ as soon as land is seen$ it will be known who has calculated the surest.
Western,Kalamazoo $ United States,-85.6102507,42.2837336,The flood of the life-stream began to set again$ and little by little to rise and inundate Western Europe$ floating off the galleys and caravels of King Alphonso of Portugal$ and sending them to feel their way along the coasts of Africa; a little later drawing the mind of Prince Henry the Navigator to devote his life to the conquest and possession of the unknown. In his great castle on the promontory of Sagres$ with the voice of the Atlantic thundering in his ears$ and its mists and sprays bounding his vision$ he felt the full force of the stream$ and stretched his arms to the mysterious West. But the inner light was not yet so brightly kindled that he dared to follow his heart; his ships went south and south again$ to brave on each voyage the dangers and terrors that lay along the unknown African coast$ until at length his captains saw the Cape of Good Hope. South and West and East were in those days confusing terms; for it was the East that men were thinking of when they set their faces to the setting sun$ and it was a new road to the East that they sought when they felt their way southward along the edge of the world. But the rising tide of discovery was working in that moment$ engaging the brains of innumerable sages$ stirring the wonder of innumerable mariners; reaching also$ little by little$ to quarters less immediately concerned with the business of discovery. Ships carried the strange tidings of new coasts and new islands from port to port throughout the Mediterranean; Venetians on the lagoons$ Ligurians on the busy trading wharves of Genoa$ were discussing the great subject; and as the tide rose and spread$ it floated one ship of life after another that was destined for the great business of adventure. Some it inspired to dream and speculate$ and to do no more than that; many a heart also to brave efforts and determinations that were doomed to come to nothing and to end only in failure. And among others who felt the force and was swayed and lifted by the prevailing influence$ there lived$ some four and a half centuries ago$ a little boy playing about the wharves of Genoa$ well known to his companions as Christoforo$ son of Domenico the wool-weaver$ who lived in the Vico Dritto di Ponticello.
Valladolid,Valladolid $ Spain,-4.724532099999999,41.652251, He was in his fifty-sixth year$ already an old man in body and mind; and his death went entirely unmarked except by his immediate circle of friends. Even Peter Martyr$ who was in Valladolid just before and just after it$ and who was writing a series of letters to various correspondents giving all the news of his day$ never thought it worth while to mention that Christopher Columbus was dead. His life flickered out in the completest obscurity. It is not even known where he was first buried; but probably it was in the Franciscan convent at Valladolid. This$ however$ was only a temporary resting-place; and a few years later his body was formally interred in the choir of the monastery of Las Cuevas at Seville$ there to lie for thirty years surrounded by continual chauntings. After that it was translated to the cathedral in San Domingo; rested there for 250 years$ and then$ on the cession of that part of the island to France$ the body was removed to Cuba. But the Admiral was by this time nothing but a box of bones and dust$ as also were brother Bartholomew and son Diego$ and Diegos son$ all collected together in that place. There were various examinations of the bone-boxes; one$ supposed to be the Admirals$ was taken to Cuba and solemnly buried there; and lately$ after the conquest of the island in the Spanish-American War$ this box of bones was elaborately conveyed to Seville$ where it now rests.
Moa,Bloomington $ United States,-93.2422148,44.8548651,The Pinta was out of sight the next morning$ and the little Nina was all that the Admiral had to rely upon for convoy. They were now near the east end of the north coast of Cuba$ and they stood in to a harbour which the Admiral called Santa Catalina$ and which is now called Cayo de Moa. As the importance of the Nina to the expedition had been greatly increased by the defection of the Pinta$ Columbus went on board and examined her. He found that some of her spars were in danger of giving way; and as there was a forest of pine trees rising from the shore he was able to procure a new mizzen mast and latine yard in case it should be necessary to replace those of the Nina. The next morning he weighed anchor at sunrise and continued east along the coast. He had now arrived at the extreme end of Cuba$ and was puzzled as to what course he should take. Believing Cuba$ as he did$ to be the mainland of Cathay$ he would have liked to follow the coast in its trend to the south-west$ in the hope of coming upon the rich city of Quinsay; but on the other hand there was looming to the south-west some land which the natives with him assured him was Bohio$ the place where all the gold was. He therefore held on his course; but when the Indians found that he was really going to these islands they became very much alarmed$ and made signs that the people would eat them if they went there; and$ in order further to dissuade the Admiral$ they added that the people there had only one eye$ and the faces$ of dogs. As it did not suit Columbus to believe them he said that they were lying$ and that he felt that the island must belong to the domain of the Great Khan. He therefore continued his course$ seeing many beautiful and enchanting bays opening before him$ and longing to go into them$ but heroically stifling his curiosity$ because he was detained more than he desired by the pleasure and delight he felt in seeing and gazing on the beauty and freshness of those countries wherever he entered$ and because he did not wish to be delayed in prosecuting what he was engaged upon; and for these reasons he remained that night beating about and standing off and on until day. He could not trust himself$ that is to say$ to anchor in these beautiful harbours$ for he knew he would be tempted to go ashore and waste valuable time exploring the woods; and so he remained instead$ beating about in the open sea.
Prione,Ahmedabad $ India,72.54677079999999,23.0202841,If Christopher wanted to go down to the sea he would have to pass under the Gate of St. Andrew$ with the old prison$ now pulled down to make room for the modern buildings$ on his right$ and go down the Salita del Prione$ which is a continuation of the Vico Dritto di Ponticello. It slopes downwards from the Gate as the first street sloped upwards to it; and it contains the same assortment of shops and of houses$ the same mixture of handicrafts and industries$ as were seen in the Vico Dritto di Ponticello. Presently he would come to the Piazza dell Erbe$ where there is no grass$ but only a pleasant circle of little houses and shops$ with already a smack of the sea in them$ chiefly suggested by the shops of instrument-makers$ where to-day there are compasses and sextants and chronometers. Out of the Piazza you come down the Via di San Donato and into the Piazza of that name$ where for over nine centuries the church of San Donato has faced the sun and the weather. From there Christophers young feet would follow the winding Via di San Bernato$ a street also inhabited by craftsmen and workers in wood and metal; and at the last turn of it$ a gash of blue between the two cliffwalls of houses$ you see the Mediterranean.
Dominica,Dominica,-61.37097600000001,15.414999,There were showers of rain sometimes$ but the moisture in that baking atmosphere only added to its stifling and enervating effects. All the while$ however$ the great slow current of the Atlantic was moving westward$ and there came a day when a heavenly breeze$ stirred in the torrid air and the musical talk of ripples began to rise again from the weedy stems of the ships. They sailed due west$ always into a cooler and fresher atmosphere; but still no land was sighted$ although pelicans and smaller birds were continually seen passing from south-west to north-east. As provisions were beginning to run low$ Columbus decided on the 31st July to alter his course to north-by-east$ in the hope of reaching the island of Dominica. But at mid-day his servant Alonso Perez$ happening to go to the masthead$ cried out that there was land in sight; and sure enough to the westward there rose three peaks of land united at the base. Here was the kind of coincidence which staggers even the unbeliever. Columbus had promised to dedicate the first land he saw to the Trinity; and here was the land$ miraculously provided when he needed it most$ three peaks in one peak$ in due conformity with the requirements of the blessed Saint Athanasius. The Admiral was deeply affected; the God of his belief was indeed a good friend to him; and he wrote down his pious conviction that the event was a miracle$ and summoned all hands to sing the Salve Regina$ with other hymns in praise of God and the Virgin Mary. The island was duly christened La Trinidad. By the hour of Compline (9 oclock in the evening) they had come up with the south coast of the island$ but it was the next day before the Admiral found a harbour where he could take in water. No natives were to be seen$ although there were footprints on the shore and other signs of human habitation.
Gaudaloupe,Guadalupe Island$ Baja California$ Mexico,-118.2760503,29.05252029999999,The Admiral sailed on March 10th$ 1496$ carrying with him in chains the vanquished Caonabo and other natives. He touched at Marigalante and at Guadaloupe$ where his people had an engagement with the natives$ taking several prisoners$ but releasing them all again with the exception of one woman$ a handsome creature who had fallen in love with Caonabo and refused to go. But for Caonabo the joys of life and love were at an end; his heart and spirit were broken. He was not destined to be paraded as a captive through the streets of Spain$ and it was somewhere in the deep Atlantic that he paid the last tribute to the power that had captured and broken him. He died on the voyage$ which was longer and much more full of hardships than usual. For some reason or other Columbus did not take the northerly route going home$ but sailed east from Gaudaloupe$ encountering the easterly trade winds$ which delayed him so much that the voyage occupied three months instead of six weeks.
de,Germany,10.451526,51.165691,Forty days of passage through this wilderness of water were endured before the sea-worn mariners$ rounding a cape on September 12th$ saw stretching before them to the southward a long coast of plain and mountain which they were able to follow with a fair wind. Gradually the sea went down; the current which had opposed them here aided them$ and they were able to recover a little from the terrible strain of the last six weeks. The cape was called by Columbus Gracios de Dios; and on the 16th of September they landed at the entrance to a river to take in water. The boat which was sent ashore$ however$ capsized on the sandy bar of the entrance$ two men being drowned$ and the river was given the name of Rio de Desastre. They found a better anchorage$ where they rested for ten days$ overhauled their stores$ and had some intercourse with the natives and exploration on shore. Some incidents occurred which can best be described in the Admirals own language as he recorded them in his letter to the Sovereigns.
coast,Chicago $ United States,-87.61840649999999,41.8873607,And Ojeda was not the only person in Spain who was enticed by Columbuss glowing descriptions to go and look for the pearls of Paria. There was in fact quite a reunion of old friends of his and ours in the western ocean$ though they went thither in a spirit far different from that of ancient friendship. Pedro Alonso Nino$ who had also been on the Paria coast with Columbus$ who had come home with the returning ships$ and whose patience (for he was an exceedingly practical man) had perhaps been tried by the strange doings of the Admiral in the Gulf of Paria$ decided that he as well as any one else might go and find some pearls. Nino is a poor man$ having worked hard in all his voyagings backwards and forwards across the Atlantic; but he has a friend with money$ one Luis Guerra$ who provides him with the funds necessary for fitting out a small caravel about the size of his old ship the Nifta. Guerra$ who has the money$ also has a brother Christoval; and his conditions are that Christoval shall be given the command of the caravel. Practical Niflo does not care so long as he reaches the place where the pearls are. He also applies to Fonseca for licence to make discoveries; and$ duly receiving it$ sails from Palos in the beginning of June 1499$ hot upon the track of Ojeda.
Cockburn,Cockburn$ WA$ Australia,115.6391526,-32.0669485,Watlings Island$ as it is now called$ or San Salvador$ as Columbus named it$ or Guanahani$ as it was known to the aborigines$ is situated in latitude 24 deg. 6 N.$ and longitude 74 deg 26 W.$ and is an irregularly shaped white sandstone islet in about the middle of the great Bahama Bank. The space occupied by the whole group is shaped like an irregular triangle extending from the Navidad Bank in the Caribbean Sea at the south-east corner$ to Bahama Island in Florida Strait on the north$ about 200 miles. The south side trends west by north for 600 miles$ and the north side north-west by north 720 miles. Most of the islands and small rocks in this group$ called Keys or Cays$ are very low$ and rise only a few feet above the sea; the highest is about 400 feet high. They are generally situated on the edge of coral and sand banks$ some of which are of a very dangerous character. They are thinly wooded$ except in the case of one or two of the larger islands which contain timber of moderate dimensions. The climate of the Bahamas is mild and temperate$ with refreshing sea breezes in the hottest months; and there is a mean temperature of 75 deg. from November to April. Watlings Island is about twelve miles in length by six in breadth$ with rocky shores slightly indented. The greater part of its area is occupied by salt-water lagoons$ separated from one another by small wooded hills from too to 140 feet high. There is plenty of grass; indeed the island is now considered to be the most fertile in the Bahamas$ and raises an excellent breed of cattle and sheep. In common with the other islands of the group it was originally settled by the Spaniards$ and afterwards by the British$ who were driven from the Bahamas again by the Spanish in the year 1641. After a great deal of changing hands they were ceded to Great Britain in 1783$ and have remained in her possession ever since. In 1897 the population of the whole group was estimated at 52$000 the whites being in the proportion of one to six of the coloured population. Watlings Island contains about 600 inhabitants scattered over the surface$ with a small settlement called Cockburn Town on the west side$ nearly opposite the landfall of Columbus. The seat of the local government is in the island of New Providence$ and the inhabitants of Watlings Island and of Rum Cay unite in sending one representative to the House of Assembly. It is high water$ full and change$ at Watlings Island at 7 h. 40 m.$ as it was in the days of Columbus; and these facts form about the sum of the worlds knowledge of and interest in Watlings Island to-day.
Thomas,Thomas County$ GA$ USA,-83.8473015,30.8417409,The immediate result of the capture of Caonabo was to rouse the islanders to further hostilities$ and one of the brothers of the captive king led a force of seven thousand men to the vicinity of St. Thomas$ to which Ojeda$ however$ had in the meantime returned. His small force was augmented by some men despatched by Bartholomew Columbus on receipt of an urgent message; and in command of this force Ojeda sallied forth against the natives and attacked them furiously on horse and on foot$ killing a great part of them$ taking others prisoner$ and putting the rest to flight. This was the beginning of the end of the island resistance. A month or two later$ when Columbus was better$ he and Bartholomew together mustered the whole of their available army and marched out in search of the native force$ which he knew had been rallied and greatly augmented.
